BrandID	BrandName	Count
297561	American Biologics	1
297563	American Biotech Labs	5
297565	American Body Building	1
2521368	American Bounty	1
2285325	AMERICAN C	3
3053869	American Chemical Society	2
2521370	American Classic	2
558468	American Classic Tea	6
3053872	American College of Surgeons	1
3053874	American Council on Exercise	1
2280750	AMERICAN COVERS	14
2523151	American Craft	1
297567	American Crew	46
2013172	American De Rosa	269
297386	American Diagnostic	2
2280770	American Educational Products	54
2379768	AMERICAN F	1
336211	American Fare	80
2521376	American Farmer	6
2521386	American Flatbread	6
558476	American Garden	124
3053876	American Genre Film Archive	1
3053878	American Girl	1
297509	American Global Health Group, LLC	2
558541	AMERICAN Gourmet	10
3007595	American gra-frutti	10
558544	American Greetings	28
558569	American Health	94
3053880	American Heart Association	4
558649	American Heritage	5
3053885	American Herro Productions	1
3053887	American Home Treasures	1
3053889	American Institute of Physics	5
298103	American International	2
297253	American Kangmei Bioengineering(HK)ltd. - 7 Days Slimming Coffe	1
2521408	AMERICAN KUSA CORP	3
308641	American Leptin Pharmaceutical	1
558654	American Licorice	43
3053895	American Pop Classics	44
3007658	American pride	5
3053940	American Psychiatric Pub.	2
3053943	American Psychological Assoc.	18
3053962	American Quilter's Society	8
3053971	American Recordings	1
2292935	AMERICAN S	4
2521412	American Sales Company	1
3053973	American Soc. of Health-System	1
3053976	American Software	2
3053979	American Technical Publishers	6
2280825	AMERICAN TOMBOW INC.	14
3053986	American Water Works Assoc.	9
1980144	Americana	30
2521432	Amerifit	1
302641	AMERMED	1
